frame	time	bmRequestType	bRequest	wValue	wIndex	wLength	dataOUT
10635	15.916155000	0x40	192	0x5066	0	3	9d0112
10637	15.916605000	0xc0	192	0x5066	0	1	
10639	15.917482000	0x40	192	0x509c	0	2	0002
10641	15.917570000	0x40	192	0x5066	0	3	9d0111
10643	15.918016000	0xc0	192	0x5066	0	1	
10647	15.918895000	0x40	192	0x509c	0	2	0002
10649	15.918990000	0x40	192	0x509c	0	2	2000
10651	15.919485000	0x40	192	0x5066	0	3	9b0109
10653	15.919976000	0xc0	192	0x5066	0	1	
10663	15.922205000	0x40	192	0x5066	0	3	9b010e
10667	15.922870000	0xc0	192	0x5066	0	1	
10749	16.029822000	0x40	192	0x5066	0	3	9b010e
10751	16.029909000	0xc0	192	0x5066	0	1	
10753	16.030796000	0x40	192	0x509c	0	2	0000
10757	16.030884000	0x40	192	0x5066	0	3	9d0155
10761	16.031434000	0xc0	192	0x5066	0	1	
10767	16.032319000	0x40	192	0x509c	0	2	0000
10769	16.032445000	0x40	192	0x509c	0	2	b3ff
10771	16.032849000	0x40	192	0x509c	0	2	0002
10775	16.033388000	0x40	192	0x509c	0	2	27ff
10777	16.033928000	0x40	192	0x509c	0	2	0002
10779	16.034464000	0x40	192	0x5066	0	3	9d0111
10783	16.034892000	0xc0	192	0x5066	0	1	
10787	16.035777000	0x40	192	0x509c	0	2	0002
10789	16.035872000	0x40	192	0x5066	0	3	9d0112
10791	16.036316000	0xc0	192	0x5066	0	1	
10795	16.037192000	0x40	192	0x509c	0	2	0002
10797	16.037291000	0x40	192	0x5066	0	3	9d0112
10799	16.037728000	0xc0	192	0x5066	0	1	
10803	16.038606000	0x40	192	0x509c	0	2	0002
10805	16.038697000	0x40	192	0x5066	0	3	9d0111
10811	16.039141000	0xc0	192	0x5066	0	1	
10815	16.040024000	0x40	192	0x509c	0	2	0002
10817	16.040124000	0x40	192	0x509c	0	2	2000
10819	16.040568000	0x40	192	0x5066	0	3	9b0109
10823	16.041102000	0xc0	192	0x5066	0	1	
10837	16.043326000	0x40	192	0x5066	0	3	9b010e
10840	16.043954000	0xc0	192	0x5066	0	1	
11011	16.147548000	0x40	192	0x5066	0	3	9b010e
11013	16.147648000	0xc0	192	0x5066	0	1	
11015	16.148514000	0x40	192	0x509c	0	2	0000
11017	16.148605000	0x40	192	0x5066	0	3	9d0155
11019	16.149144000	0xc0	192	0x5066	0	1	
11021	16.150018000	0x40	192	0x509c	0	2	0000
11023	16.150122000	0x40	192	0x509c	0	2	b3ff
11025	16.150550000	0x40	192	0x509c	0	2	0002
11031	16.151086000	0x40	192	0x509c	0	2	27ff
11033	16.151629000	0x40	192	0x509c	0	2	0002
11037	16.152172000	0x40	192	0x5066	0	3	9d0111
11039	16.152609000	0xc0	192	0x5066	0	1	
11041	16.153490000	0x40	192	0x509c	0	2	0002
11043	16.153591000	0x40	192	0x5066	0	3	9d0112
11047	16.154026000	0xc0	192	0x5066	0	1	
11051	16.154950000	0x40	192	0x509c	0	2	0002
11053	16.155018000	0x40	192	0x5066	0	3	9d0112
11055	16.155449000	0xc0	192	0x5066	0	1	
11057	16.156336000	0x40	192	0x509c	0	2	0002
11059	16.156495000	0x40	192	0x5066	0	3	9d0111
11061	16.156886000	0xc0	192	0x5066	0	1	
11063	16.157797000	0x40	192	0x509c	0	2	0002
11065	16.157870000	0x40	192	0x509c	0	2	2000
11069	16.158317000	0x40	192	0x5066	0	3	9b0109
11073	16.158848000	0xc0	192	0x5066	0	1	
11083	16.161089000	0x40	192	0x5066	0	3	9b010e
11085	16.161715000	0xc0	192	0x5066	0	1	
11185	16.268313000	0x40	192	0x5066	0	3	9b010e
11187	16.268413000	0xc0	192	0x5066	0	1	
11189	16.269304000	0x40	192	0x509c	0	2	0000
11191	16.269392000	0x40	192	0x5066	0	3	9d0155
11193	16.269935000	0xc0	192	0x5066	0	1	
11197	16.270862000	0x40	192	0x509c	0	2	0000
11199	16.270948000	0x40	192	0x5066	0	3	9d016a
11201	16.271400000	0xc0	192	0x5066	0	1	
11205	16.272266000	0x40	192	0x509c	0	2	0000
11207	16.272359000	0x40	192	0x5066	0	3	9d016b
11209	16.272804000	0xc0	192	0x5066	0	1	
11211	16.273683000	0x40	192	0x509c	0	2	0000
11213	16.273779000	0x40	192	0x5066	0	3	9d0157
11215	16.274212000	0xc0	192	0x5066	0	1	
11219	16.275097000	0x40	192	0x509c	0	2	0000
11221	16.275196000	0x40	192	0x5066	0	3	9d0158
11223	16.275635000	0xc0	192	0x5066	0	1	
11225	16.276531000	0x40	192	0x509c	0	2	0000
11227	16.276616000	0x40	192	0x5066	0	3	9d0159
11229	16.277062000	0xc0	192	0x5066	0	1	
11231	16.277944000	0x40	192	0x509c	0	2	0000
11233	16.278038000	0x40	192	0x5066	0	3	9d015a
11235	16.278478000	0xc0	192	0x5066	0	1	
11239	16.279347000	0x40	192	0x509c	0	2	0000
11241	16.279446000	0x40	192	0x5066	0	3	9d015b
11243	16.279885000	0xc0	192	0x5066	0	1	
11245	16.280767000	0x40	192	0x509c	0	2	0000
11247	16.280865000	0x40	192	0x5066	0	3	9d015c
11249	16.281304000	0xc0	192	0x5066	0	1	
11253	16.282181000	0x40	192	0x509c	0	2	0000
11255	16.282279000	0x40	192	0x5066	0	3	9d015f
11257	16.282721000	0xc0	192	0x5066	0	1	
11261	16.283607000	0x40	192	0x509c	0	2	0002
11263	16.283703000	0x40	192	0x5066	0	3	9d0129
11265	16.284265000	0xc0	192	0x5066	0	1	
11267	16.285121000	0x40	192	0x509c	0	2	0002
11269	16.285200000	0x40	192	0x5066	0	3	9d0128
11271	16.285642000	0xc0	192	0x5066	0	1	
11273	16.286524000	0x40	192	0x509c	0	2	0001
11275	16.286618000	0x40	192	0x5066	0	3	9d0101
11279	16.287153000	0xc0	192	0x5066	0	1	
11281	16.288043000	0x40	192	0x509c	0	2	0002
11283	16.288136000	0x40	192	0x5066	0	3	9d0147
11285	16.288668000	0xc0	192	0x5066	0	1	
11287	16.289559000	0x40	192	0x509c	0	2	0000
11289	16.289652000	0x40	192	0x5066	0	3	9d015c
11291	16.290200000	0xc0	192	0x5066	0	1	
11295	16.291083000	0x40	192	0x509c	0	2	0000
11297	16.291162000	0x40	192	0x509c	0	2	e200
11299	16.291605000	0x40	192	0x509c	0	2	0000
11303	16.292144000	0x40	192	0x5066	0	3	9d0159
11305	16.292586000	0xc0	192	0x5066	0	1	
11307	16.293460000	0x40	192	0x509c	0	2	0000
11309	16.293553000	0x40	192	0x5066	0	3	9d015a
11311	16.293997000	0xc0	192	0x5066	0	1	
11315	16.294901000	0x40	192	0x509c	0	2	0002
11317	16.294985000	0x40	192	0x5066	0	3	9d0107
11319	16.295523000	0xc0	192	0x5066	0	1	
11321	16.296405000	0x40	192	0x509c	0	2	0002
11323	16.296502000	0x40	192	0x509c	0	2	0714
11325	16.296942000	0x40	192	0x509c	0	2	0002
11327	16.297481000	0x40	192	0x509c	0	2	0704
11329	16.297913000	0x40	192	0x509c	0	2	0002
11331	16.298465000	0x40	192	0x5066	0	3	9d0149
11335	16.298897000	0xc0	192	0x5066	0	1	
11337	16.299787000	0x40	192	0x509c	0	2	0002
11339	16.299881000	0x40	192	0x5066	0	3	9d014a
11341	16.300368000	0xc0	192	0x5066	0	1	
11343	16.301198000	0x40	192	0x509c	0	2	0002
11345	16.301281000	0x40	192	0x5066	0	3	9d0148
11347	16.301718000	0xc0	192	0x5066	0	1	
